time_iso8601,forks_cumulative
2024-04-09 00:00:00+00:00,40411
2024-04-10 00:00:00+00:00,40450
2024-04-11 00:00:00+00:00,40478
2024-04-12 00:00:00+00:00,40508
2024-04-13 00:00:00+00:00,40535
2024-04-14 00:00:00+00:00,40559
2024-04-15 00:00:00+00:00,40601
2024-04-16 00:00:00+00:00,40659
2024-04-17 00:00:00+00:00,40709
2024-04-18 00:00:00+00:00,40767
2024-04-19 00:00:00+00:00,40799
2024-04-20 00:00:00+00:00,40825
2024-04-21 00:00:00+00:00,40860
2024-04-22 00:00:00+00:00,40902
2024-04-23 00:00:00+00:00,40962
2024-04-24 00:00:00+00:00,41004
2024-04-25 00:00:00+00:00,41034
2024-04-26 00:00:00+00:00,41057
2024-04-27 00:00:00+00:00,41088
2024-04-28 00:00:00+00:00,41116
2024-04-29 00:00:00+00:00,41153
2024-04-30 00:00:00+00:00,41188
2024-05-01 00:00:00+00:00,41220
2024-05-02 00:00:00+00:00,41248
2024-05-03 00:00:00+00:00,41270
2024-05-04 00:00:00+00:00,41297
2024-05-05 00:00:00+00:00,41320
2024-05-06 00:00:00+00:00,41345
2024-05-07 00:00:00+00:00,41387
2024-05-08 00:00:00+00:00,41419
2024-05-09 00:00:00+00:00,41445
2024-05-10 00:00:00+00:00,41469
2024-05-11 00:00:00+00:00,41499
2024-05-12 00:00:00+00:00,41524
2024-05-13 00:00:00+00:00,41553
2024-05-14 00:00:00+00:00,41587
2024-05-15 00:00:00+00:00,41636
2024-05-16 00:00:00+00:00,41686
2024-05-17 00:00:00+00:00,41715
2024-05-18 00:00:00+00:00,41743
2024-05-19 00:00:00+00:00,41783
2024-05-20 00:00:00+00:00,41817
2024-05-21 00:00:00+00:00,41858
2024-05-22 00:00:00+00:00,41901
2024-05-23 00:00:00+00:00,41932
2024-05-24 00:00:00+00:00,41965
2024-05-25 00:00:00+00:00,41991
2024-05-26 00:00:00+00:00,42022
2024-05-27 00:00:00+00:00,42050
2024-05-28 00:00:00+00:00,42084
2024-05-29 00:00:00+00:00,42120
2024-05-30 00:00:00+00:00,42151
2024-05-31 00:00:00+00:00,42173
2024-06-01 00:00:00+00:00,42204
2024-06-02 00:00:00+00:00,42227
2024-06-03 00:00:00+00:00,42256
2024-06-04 00:00:00+00:00,42289
2024-06-05 00:00:00+00:00,42334
2024-06-06 00:00:00+00:00,42374
2024-06-07 00:00:00+00:00,42398
2024-06-08 00:00:00+00:00,42422
2024-06-09 00:00:00+00:00,42459
2024-06-10 00:00:00+00:00,42487
2024-06-11 00:00:00+00:00,42521
2024-06-12 00:00:00+00:00,42555
2024-06-13 00:00:00+00:00,42574
2024-06-14 00:00:00+00:00,42594
2024-06-15 00:00:00+00:00,42605
2024-06-16 00:00:00+00:00,42615
2024-06-17 00:00:00+00:00,42641
2024-06-18 00:00:00+00:00,42670
2024-06-19 00:00:00+00:00,42693
2024-06-20 00:00:00+00:00,42719
2024-06-21 00:00:00+00:00,42746
2024-06-22 00:00:00+00:00,42759
2024-06-23 00:00:00+00:00,42774
2024-06-24 00:00:00+00:00,42791
2024-06-25 00:00:00+00:00,42822
2024-06-26 00:00:00+00:00,42835
2024-06-27 00:00:00+00:00,42851
2024-06-28 00:00:00+00:00,42866
2024-06-29 00:00:00+00:00,42885
2024-06-30 00:00:00+00:00,42894
2024-07-01 00:00:00+00:00,42916
2024-07-02 00:00:00+00:00,42953
2024-07-03 00:00:00+00:00,42976
2024-07-04 00:00:00+00:00,42998
2024-07-05 00:00:00+00:00,43017
